trat	var	pcard	rep	brix
1	A1	B1	1	18.0
1	A1	B1	2	17.5
1	A1	B1	3	17.8
2	A1	B2	1	17.1
2	A1	B2	2	18.8
2	A1	B2	3	16.9
3	A1	B3	1	17.6
3	A1	B3	2	18.1
3	A1	B3	3	17.6
4	A1	B4	1	17.6
4	A1	B4	2	17.2
4	A1	B4	3	16.5
5	A2	B1	1	16.3
5	A2	B1	2	16.6
5	A2	B1	3	15.0
6	A2	B2	1	15.9
6	A2	B2	2	14.3
6	A2	B2	3	14.0
7	A2	B3	1	16.5
7	A2	B3	2	16.3
7	A2	B3	3	15.9
8	A2	B4	1	18.3
8	A2	B4	2	17.5
8	A2	B4	3	15.2
9	A3	B1	1	16.0
9	A3	B1	2	19.5
9	A3	B1	3	16.3
10	A3	B2	1	16.2
10	A3	B2	2	14.9
10	A3	B2	3	16.4
11	A3	B3	1	17.9
11	A3	B3	2	15.0
11	A3	B3	3	16.0
12	A3	B4	1	16.1
12	A3	B4	2	15.3
12	A3	B4	3	16.4
13	A4	B1	1	16.6
13	A4	B1	2	15.9
13	A4	B1	3	17.5
14	A4	B2	1	15.2
14	A4	B2	2	13.2
14	A4	B2	3	15.8
15	A4	B3	1	14.2
15	A4	B3	2	18.0
15	A4	B3	3	16.7
16	A4	B4	1	15.5
16	A4	B4	2	17.3
16	A4	B4	3	18.4
17	A5	B1	1	18.9
17	A5	B1	2	18.5
17	A5	B1	3	21.5
18	A5	B2	1	18.6
18	A5	B2	2	13.7
18	A5	B2	3	16.4
19	A5	B3	1	15.3
19	A5	B3	2	18.2
19	A5	B3	3	18.3
20	A5	B4	1	17.0
20	A5	B4	2	18.3
20	A5	B4	3	16.6
