trat	var     sem	bloco	prod
t1	A1	B1	I	42.9
t1	A1	B1	II	41.6
t1	A1	B1	III	28.9
t1	A1	B1	IV	30.8
t2	A1	B2	I	53.8
t2	A1	B2	II	58.5
t2	A1	B2	III	43.9
t2	A1	B2	IV	46.3
t3	A1	B3	I	49.5
t3	A1	B3	II	53.8
t3	A1	B3	III	40.7
t3	A1	B3	IV	39.4
t4	A1	B4	I	44.4
t4	A1	B4	II	41.8
t4	A1	B4	III	28.3
t4	A1	B4	IV	34.7
t5	A2	B1	I	53.3
t5	A2	B1	II	69.6
t5	A2	B1	III	45.4
t5	A2	B1	IV	35.1
t6	A2	B2	I	57.6
t6	A2	B2	II	69.6
t6	A2	B2	III	42.4
t6	A2	B2	IV	51.9
t7	A2	B3	I	59.8
t7	A2	B3	II	65.8
t7	A2	B3	III	41.4
t7	A2	B3	IV	45.4
t8	A2	B4	I	64.1
t8	A2	B4	II	57.4
t8	A2	B4	III	44.1
t8	A2	B4	IV	51.6
t9	A3	B1	I	62.3
t9	A3	B1	II	58.5
t9	A3	B1	III	44.6
t9	A3	B1	IV	50.3
t10	A3	B2	I	63.4
t10	A3	B2	II	50.4
t10	A3	B2	III	45.0
t10	A3	B2	IV	46.7
t11	A3	B3	I	64.5
t11	A3	B3	II	46.1
t11	A3	B3	III	62.6
t11	A3	B3	IV	50.3
t12	A3	B4	I	63.6
t12	A3	B4	II	56.1
t12	A3	B4	III	52.7
t12	A3	B4	IV	51.8
t13	A4	B1	I	75.4
t13	A4	B1	II	65.6
t13	A4	B1	III	54.0
t13	A4	B1	IV	52.7
t14	A4	B2	I	70.3
t14	A4	B2	II	67.3
t14	A4	B2	III	57.6
t14	A4	B2	IV	58.5
t15	A4	B3	I	68.8
t15	A4	B3	II	65.3
t15	A4	B3	III	45.6
t15	A4	B3	IV	51.0
t16	A4	B4	I	71.6
t16	A4	B4	II	69.4
t16	A4	B4	III	56.6
t16	A4	B4	IV	47.4
