
#Experimento com 10 genotipos de feijao
#gen: genotipos de feijao
#flor: número de dias ate o florescimento
#stand: número de plantas na unidade experimental
#alt: altura da planta
#apv: altura da primeira vagem
#nvp: número de vagens por planta
#nsv: número de sementes por vagem
#prod: produtividade
#pcs: peso de cem sementes

gen   bloco	flor	stand	alt	apv	nvp	nsv	prod	pcs
1	1	49	117	45.0	10.0	6.0	4.4	413	18.00
1	2	48	154	60.0	12.0	8.6	4.2	620	19.00
1	3	46	142	66.0	20.0	7.1	4.0	799	17.00
2	1	54	149	45.0	10.0	2.0	3.4	110	18.00
2	2	51	146	52.0	17.0	3.1	3.1	135	19.00
2	3	51	134	32.0	15.0	1.8	3.5	106	17.00
3	1	50	148	46.0	10.0	6.1	5.2	495	14.50
3	2	49	141	55.0	15.0	7.4	6.5	475	14.50
3	3	49	125	43.0	22.0	12.5	5.9	799	16.50
4	1	43	99	32.0	13.0	6.1	3.1	461	49.00
4	2	43	158	39.0	18.0	6.9	3.5	851	51.00
4	3	43	139	35.0	25.0	5.7	3.8	607	49.00
5	1	49	105	45.0	10.0	15.0	4.2	744	14.50
5	2	47	140	43.0	11.0	9.5	5.1	700	17.50
5	3	48	133	40.0	15.0	16.2	5.6	847	15.00
6	1	45	134	56.0	15.0	13.1	6.3	763	13.50
6	2	50	146	45.0	16.0	5.7	4.9	424	14.00
6	3	46	127	34.0	19.0	13.2	6.4	512	15.00
7	1	51	124	85.0	15.0	7.9	4.5	270	15.50
7	2	48	149	47.0	13.0	3.2	4.0	169	16.00
7	3	50	123	38.0	16.0	3.2	3.8	151	13.50
8	1	46	139	48.0	12.0	9.1	4.3	745	43.00
8	2	46	133	46.0	16.0	7.6	4.2	813	49.00
8	3	48	123	42.0	16.0	6.8	3.7	640	43.00
9	1	41	143	26.0	9.0	5.5	3.6	282	33.00
9	2	43	143	31.0	16.0	5.6	4.3	520	37.50
9	3	41	125	30.0	13.0	8.3	3.2	370	38.50
10	1	46	138	42.0	8.0	6.7	5.2	471	15.00
10	2	47	150	70.0	14.0	13.4	6.3	570	16.50
10	3	46	136	41.0	23.0	9.7	5.6	738	15.50
